Rank,Country,Elections,Seats,Women,Women Percentage
2,Cuba,3.2023,470,262,55.7
3,Nicaragua,11.2021,91,50,55
6,Andorra,4.2023,28,14,50
7,United Arab Emirates,10.2023,40,20,50
8,Costa Rica,2.2022,57,28,49.1
10,Iceland,11.2024,63,29,46
11,Monaco,2.2023,24,11,45.8
12,Finland,4.2023,200,91,45.5
13,New Zealand,10.2023,123,56,45.5
14,Ecuador,2.2025,151,68,45
15,Sweden,9.2022,349,157,45
17,Cabo Verde,4.2021,72,32,44.4
19,Denmark,11.2022,179,78,43.6
23,Peru,4.2021,130,54,41.5
25,Senegal,11.2024,165,68,41.2
26,Dominica,12.2022,32,13,40.6
28,Norway,9.2025,169,68,40.2
30,United Republic of Tanzania,10.2025,387,153,39.5
31,North Macedonia,5.2024,120,47,39.2
32,Angola,8.2022,220,86,39.1
34,Armenia,6.2021,107,41,38.3
35,Mozambique,10.2024,248,95,38.3
37,Republic of Moldova,9.2025,101,38,37.6
39,Serbia,12.2023,250,93,37.2
40,Guyana,9.2025,65,24,36.9
42,Portugal,5.2025,230,82,35.7
45,Timor-Leste,5.2023,65,23,35.4
47,Albania,5.2025,140,49,35
48,Luxembourg,10.2023,60,21,35
49,San Marino,6.2024,60,21,35
50,Uganda,1.2021,555,189,34.1
55,Croatia,4.2024,151,50,33.1
59,Singapore,5.2025,99,32,32.3
60,Liechtenstein,2.2025,25,8,32
61,El Salvador,2.2024,60,19,31.7
62,Suriname,5.2025,51,16,31.4
63,Vietnam,5.2021,478,150,31.4
66,Saint Kitts and Nevis,8.2022,16,5,31.3
69,Latvia,10.2022,100,31,31
72,Mali,12.202,133,40,30.1
74,Guinea,1.2022,81,24,29.6
75,Sierra Leone,6.2023,149,44,29.5
77,Malta,3.2022,79,23,29.1
78,Iraq,10.2021,329,95,28.9
80,Estonia,3.2023,101,29,28.7
82,Lithuania,10.2024,141,40,28.4
85,Honduras,11.2021,128,35,27.3
86,Montenegro,6.2023,81,22,27.2
88,Benin,1.2023,109,29,26.6
89,China,3.2023,2977,790,26.5
90,Seychelles,9.2025,34,9,26.5
91,Djibouti,2.2023,65,17,26.2
92,Turkmenistan,3.2023,125,32,25.6
93,Mongolia,6.2024,126,32,25.4
95,Bulgaria,10.2024,240,60,25
99,Israel,11.2022,120,29,24.2
103,Mauritania,5.2023,176,41,23.3
104,Slovakia,9.2023,150,35,23.3
105,Greece,6.2023,297,68,22.9
107,Kyrgyzstan,11.2021,90,20,22.2
108,Lao People's Democratic Republic,2.2021,164,36,22
109,Indonesia,2.2024,580,127,21.9
110,Panama,5.2024,69,15,21.7
111,Saint Vincent and the Grenadines,11.202,23,5,21.7
114,Malawi,9.2025,224,48,21.4
115,Micronesia (Federated States of),3.2025,14,3,21.4
116,Ukraine,7.2019,401,85,21.2
117,Azerbaijan,9.2024,125,26,20.8
118,Republic of Korea,4.2024,300,61,20.3
120,Guatemala,6.2023,160,32,20
121,Saudi Arabia,9.2024,151,30,19.9
122,Turkiye,5.2023,593,118,19.9
124,Niger,5.2025,194,38,19.6
129,Burkina Faso,11.2022,71,13,18.3
130,Comoros,1.2025,33,6,18.2
133,Mauritius,11.2024,67,12,17.9
134,Democratic People's Republic of Korea,3.2019,687,121,17.6
136,Georgia,10.2024,101,17,16.8
137,Libya,6.2014,170,28,16.5
141,Hungary,4.2022,199,31,15.6
143,Zambia,8.2021,167,25,15
145,Ghana,12.2024,275,40,14.6
146,Sao Tome and Principe,9.2022,55,8,14.6
147,Cyprus,5.2021,56,8,14.3
155,Marshall Islands,11.2023,33,4,12.1
156,Brunei Darussalam,1.2023,35,4,11.4
157,Central African Republic,12.202,140,16,11.4
158,Kiribati,8.2024,45,5,11.1
160,Nauru,10.2025,19,2,10.5
162,Tonga,11.2021,30,3,10
163,Guinea-Bissau,6.2023,102,10,9.8
164,Samoa,8.2025,51,5,9.8
165,Sri Lanka,11.2024,225,22,9.8
166,Fiji,12.2022,55,5,9.1
167,Botswana,10.2024,67,6,9
168,Gambia (The),4.2022,58,5,8.6
170,Lebanon,5.2022,128,8,6.3
171,Qatar,10.2025,49,3,6.1
172,Solomon Islands,4.2024,50,3,6
174,Iran (Islamic Republic of),3.2024,285,14,4.9
177,Maldives,4.2024,93,3,3.2
178,Papua New Guinea,7.2022,111,3,2.7
179,Vanuatu,1.2025,52,1,1.9
183,Tuvalu,1.2024,16,0,0
183,Syrian Arab Republic,10.2025,119,0,0
183,Venezuela (Bolivarian Republic of),5.2025,285,0,0
